experiment,dataset,detector,feature_group,N,positive_count,negative_count,prevalence,threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Specificity,FPR,FNR,TP,TN,FP,FN,Recall_at_FPR_0.05,Recall_at_FPR_0.10,Recall_at_FPR_0.20
01_controlled_baseline,controlled_6000,Rule-Based,Hard Disagreement,1800,900,900,0.5,0.05,0.6011111111111112,0.6011111111111112,0.6691449814126395,0.4,0.5006954102920723,0.6093432098765431,0.5959860883117112,0.8022222222222222,0.19777777777777777,0.6,360,722,178,540,0.07222222222222222,0.20222222222222222,0.4
01_controlled_baseline,controlled_6000,Detector A,Disagreement Only,1800,900,900,0.5,0.05,0.5,0.5,0.5,1.0,0.6666666666666666,0.6125487654320987,0.6029898943109907,0.0,1.0,0.0,900,0,900,0,0.08,0.22777777777777777,0.4
01_controlled_baseline,controlled_6000,Detector B,Posterior + Evidence,1800,900,900,0.5,0.39000000000000007,0.6616666666666666,0.6616666666666666,0.6164931945556446,0.8555555555555555,0.7166123778501629,0.7575222222222222,0.74774308672651,0.4677777777777778,0.5322222222222223,0.14444444444444443,770,421,479,130,0.29444444444444445,0.43,0.5855555555555556
02_real_whisper_baseline,real_whisper,Rule-Based,Hard Disagreement,897,179,718,0.1995540691192865,0.05,0.24972129319955408,0.3195484041642676,0.12,0.43575418994413406,0.1881785283474065,0.1526509080157483,0.14698985570215153,0.20334261838440112,0.7966573816155988,0.5642458100558659,78,146,572,101,0.0,0.0,0.0
02_real_whisper_baseline,real_whisper,Detector A,Disagreement Only,897,179,718,0.1995540691192865,0.060000000000000005,0.8338907469342252,0.8899488025396429,0.546583850931677,0.9832402234636871,0.7025948103792415,0.93027652853208,0.7240814520068224,0.7966573816155988,0.20334261838440112,0.01675977653631285,176,572,146,3,0.40782122905027934,0.40782122905027934,0.40782122905027934
02_real_whisper_baseline,real_whisper,Detector B,Posterior + Evidence,897,179,718,0.1995540691192865,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.0,0.0,179,718,0,0,1.0,1.0,1.0
03_text_displacement,real_whisper,Detector C,Text Posterior Displacement,897,179,718,0.1995540691192865,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,179,718,0,0,1.0,1.0,1.0
04_excess_cross_modal,real_whisper,Detector D,Excess Cross-Modal Deltas,897,179,718,0.1995540691192865,0.25000000000000006,0.9955406911928651,0.9951175674203638,0.9834254143646409,0.994413407821229,0.9888888888888889,0.9980781500443504,0.9964781046311537,0.9958217270194986,0.004178272980501393,0.00558659217877095,178,715,3,1,0.994413407821229,0.994413407821229,0.994413407821229
05_combined_detector,real_whisper,Detector E (LR),Combined (Det B + Disp + Delta),897,179,718,0.1995540691192865,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0,0.0,179,718,0,0,1.0,1.0,1.0
05_combined_detector,real_whisper,Detector E (RF),Combined (Det B + Disp + Delta),897,179,718,0.1995540691192865,0.07,0.9966555183946488,0.9979108635097493,0.9835164835164835,1.0,0.9916897506925207,1.0,1.0,0.9958217270194986,0.004178272980501393,0.0,179,715,3,0,1.0,1.0,1.0
06_hierarchy,real_whisper,Detector E + Hierarchy,All Features + Hierarchy,897,179,718,0.1995540691192865,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,179,718,0,0,1.0,1.0,1.0
11_synthetic_to_real,real_whisper (Zero-Shot),Detector B (Trained on Controlled),Posterior + Evidence,897,179,718,0.1995540691192865,0.39000000000000007,0.15496098104793757,0.388268156424581,0.16219369894982497,0.776536312849162,0.26833976833976836,0.055865921787709494,0.10914946329382973,0.0,1.0,0.22346368715083798,139,0,718,40,0.0,0.0,0.0
