experiment,head,class,precision,recall,f1_score,support
Joint_6Head,domain,FINANCIAL,1.0,1.0,1.0,263
Joint_6Head,domain,GENERAL,1.0,1.0,1.0,80
Joint_6Head,domain,MEDICAL,1.0,1.0,1.0,72
Joint_6Head,subdomain,GENERAL_TOPIC,0.6591,0.8056,0.725,36
Joint_6Head,subdomain,HEALTHCARE,0.2537,0.5231,0.3417,65
Joint_6Head,subdomain,INDUSTRIAL_GOODS,0.2846,0.3889,0.3286,90
Joint_6Head,subdomain,MEDICAL_SPECIALTY,0.75,0.5833,0.6562,36
Joint_6Head,subdomain,TECHNOLOGY,0.0,0.0,0.0,108
Joint_6Head,subdomain,USER_INTERACTION_TYPE,1.0,1.0,1.0,80
Joint_6Head,intent,BUSINESS_OPERATIONS_AND_HEALTH,0.1429,0.0345,0.0556,29
Joint_6Head,intent,BUSINESS_STRATEGY_AND_PROJECT_PLANNING,0.1806,0.4815,0.2626,27
Joint_6Head,intent,COMMUNICATION_EMAIL_CALL_AND_CONTACTS,0.35,0.3889,0.3684,18
Joint_6Head,intent,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,0.0,0.0,0.0,37
Joint_6Head,intent,FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,0.2963,0.3556,0.3232,45
Joint_6Head,intent,FINANCIAL_REPORTING_AND_OUTLOOK,0.2809,0.431,0.3401,58
Joint_6Head,intent,GENERAL_ASSISTANCE_AND_QA,0.5652,0.3611,0.4407,36
Joint_6Head,intent,MARKET_AND_COMPETITIVE_OUTLOOK,0.0,0.0,0.0,14
Joint_6Head,intent,MEDIA_ENTERTAINMENT_AND_UTILITY,0.875,0.7,0.7778,40
Joint_6Head,intent,MEDICAL_ADVICE_AND_TREATMENT,0.75,0.6857,0.7164,35
Joint_6Head,intent,MEDICAL_SYMPTOM_AND_CONDITION,0.8636,0.7917,0.8261,24
Joint_6Head,intent,MEDICATION_DIAGNOSTICS_AND_CLINICAL_RESEARCH,0.2903,0.5625,0.383,16
Joint_6Head,intent,PRODUCT_AND_TECHNOLOGY_MANAGEMENT,0.0,0.0,0.0,19
Joint_6Head,intent,TIME_LOCATION_TRAVEL_AND_LOGISTICS,0.4643,0.7647,0.5778,17
Joint_6Head,entity_type,BUSINESS_GOVERNANCE_AND_RELATIONS,0.0,0.0,0.0,9
Joint_6Head,entity_type,BUSINESS_OPERATIONS_AND_LOGISTICS,0.0,0.0,0.0,27
Joint_6Head,entity_type,COMMUNICATION_AND_INTERACTION,1.0,0.3846,0.5556,13
Joint_6Head,entity_type,CORPORATE_FINANCIAL_PERFORMANCE,0.0,0.0,0.0,18
Joint_6Head,entity_type,DIAGNOSTIC_TEST_OR_RESULT,0.4,0.4444,0.4211,9
Joint_6Head,entity_type,ENTERTAINMENT_AND_MEDIA,1.0,0.7,0.8235,10
Joint_6Head,entity_type,FINANCIAL_METRICS_DETAIL,0.311,0.75,0.4397,68
Joint_6Head,entity_type,FINANCIAL_STRATEGY_AND_PLANNING,0.2281,0.3514,0.2766,37
Joint_6Head,entity_type,GENERAL_BUSINESS_ADMINISTRATION,0.5882,0.3571,0.4444,28
Joint_6Head,entity_type,GENERAL_INFORMATION_AND_MISCELLANEOUS,0.3919,0.6744,0.4957,43
Joint_6Head,entity_type,MARKET_AND_INDUSTRY_ANALYSIS,0.0,0.0,0.0,34
Joint_6Head,entity_type,MEDICAL_CONDITION_OR_CLINICAL_STATE,0.2727,0.4615,0.3429,13
Joint_6Head,entity_type,MEDICAL_SYMPTOM,0.8,0.7692,0.7843,26
Joint_6Head,entity_type,MEDICATION_OR_DRUG,0.5385,0.5833,0.56,12
Joint_6Head,entity_type,PERSONAL_AND_DAILY_LIFE,0.0,0.0,0.0,2
Joint_6Head,entity_type,PRODUCT_AND_SERVICE_MANAGEMENT,0.0,0.0,0.0,7
Joint_6Head,entity_type,REGULATORY_AND_ENVIRONMENTAL_CONTEXT,0.0,0.0,0.0,4
Joint_6Head,entity_type,SALES_AND_CUSTOMER_ENGAGEMENT,0.0,0.0,0.0,19
Joint_6Head,entity_type,TECHNOLOGY_AND_DIGITAL_INFRASTRUCTURE,0.0,0.0,0.0,17
Joint_6Head,entity_type,TREATMENT_OR_HEALTHCARE,1.0,0.2667,0.4211,15
Joint_6Head,urgency,CRITICAL,0.0,0.0,0.0,2
Joint_6Head,urgency,HIGH,0.1667,0.0556,0.0833,18
Joint_6Head,urgency,LOW,0.5229,0.6015,0.5594,133
Joint_6Head,urgency,MEDIUM,0.6193,0.5989,0.6089,182
Joint_6Head,emotion,ANGER,1.0,0.0952,0.1739,21
Joint_6Head,emotion,DISGUST,0.3158,0.25,0.2791,24
Joint_6Head,emotion,FEAR,0.5263,0.4167,0.4651,24
Joint_6Head,emotion,JOY,0.2885,0.5556,0.3797,27
Joint_6Head,emotion,NEUTRAL,0.25,0.1667,0.2,18
Joint_6Head,emotion,SADNESS,0.2381,0.2,0.2174,25
Joint_6Head,emotion,SURPRISE,0.2857,0.4762,0.3571,21
Single_domain,domain,FINANCIAL,1.0,1.0,1.0,263
Single_domain,domain,GENERAL,1.0,1.0,1.0,80
Single_domain,domain,MEDICAL,1.0,1.0,1.0,72
Single_subdomain,subdomain,GENERAL_TOPIC,0.5455,0.8333,0.6593,36
Single_subdomain,subdomain,HEALTHCARE,0.2473,0.3538,0.2911,65
Single_subdomain,subdomain,INDUSTRIAL_GOODS,0.3333,0.1333,0.1905,90
Single_subdomain,subdomain,MEDICAL_SPECIALTY,0.6471,0.3056,0.4151,36
Single_subdomain,subdomain,TECHNOLOGY,0.4328,0.537,0.4793,108
Single_subdomain,subdomain,USER_INTERACTION_TYPE,1.0,1.0,1.0,80
Single_intent,intent,BUSINESS_OPERATIONS_AND_HEALTH,0.0952,0.069,0.08,29
