Frame Index,Approximate Time (seconds),Approximate Time (milliseconds)
0,0.0,0.0
1,0.02,20.0
2,0.04,40.0
3,0.06,60.0
4,0.08,80.0
5,0.1,100.0
6,0.12,120.0
7,0.14,140.0
8,0.16,160.0
9,0.18,180.0
10,0.2,200.0
11,0.22,220.0
12,0.24,240.0
13,0.26,260.0
14,0.28,280.0
15,0.3,300.0
16,0.32,320.0
17,0.34,340.0
18,0.36,360.0
19,0.38,380.0
20,0.4,400.0
21,0.42,420.0
22,0.44,440.0
23,0.46,460.0
24,0.48,480.0
25,0.5,500.0
26,0.52,520.0
27,0.54,540.0
28,0.56,560.0
29,0.58,580.0
30,0.6,600.0
31,0.62,620.0
32,0.64,640.0
33,0.66,660.0
34,0.68,680.0
35,0.7000000000000001,700.0000000000001
36,0.72,720.0
37,0.74,740.0
38,0.76,760.0
39,0.78,780.0
40,0.8,800.0
41,0.8200000000000001,820.0000000000001
42,0.84,840.0
43,0.86,860.0
44,0.88,880.0
45,0.9,900.0
46,0.92,920.0
47,0.9400000000000001,940.0000000000001
48,0.96,960.0
49,0.98,980.0
50,1.0,1000.0
51,1.02,1020.0
52,1.04,1040.0
53,1.06,1060.0
54,1.08,1080.0
55,1.1,1100.0
56,1.12,1120.0
57,1.1400000000000001,1140.0000000000002
58,1.16,1160.0
59,1.18,1180.0
60,1.2,1200.0
61,1.22,1220.0
62,1.24,1240.0
63,1.26,1260.0
64,1.28,1280.0
65,1.3,1300.0
66,1.32,1320.0
67,1.34,1340.0
68,1.36,1360.0
69,1.3800000000000001,1380.0000000000002
70,1.4000000000000001,1400.0000000000002
71,1.42,1420.0
72,1.44,1440.0
73,1.46,1460.0
74,1.48,1480.0
75,1.5,1500.0
76,1.52,1520.0
77,1.54,1540.0
78,1.56,1560.0
79,1.58,1580.0
80,1.6,1600.0
81,1.62,1620.0
82,1.6400000000000001,1640.0000000000002
83,1.6600000000000001,1660.0000000000002
84,1.68,1680.0
85,1.7,1700.0
86,1.72,1720.0
87,1.74,1740.0
88,1.76,1760.0
89,1.78,1780.0
90,1.8,1800.0
91,1.82,1820.0
92,1.84,1840.0
93,1.86,1860.0
94,1.8800000000000001,1880.0000000000002
95,1.9000000000000001,1900.0000000000002
96,1.92,1920.0
97,1.94,1940.0
98,1.96,1960.0
99,1.98,1980.0
100,2.0,2000.0
101,2.02,2020.0
102,2.04,2040.0
103,2.06,2060.0
104,2.08,2080.0
105,2.1,2100.0
106,2.12,2120.0
107,2.14,2140.0
108,2.16,2160.0
109,2.18,2180.0
110,2.2,2200.0
111,2.22,2220.0
112,2.24,2240.0
113,2.2600000000000002,2260.0000000000005
114,2.2800000000000002,2280.0000000000005
115,2.3000000000000003,2300.0000000000005
116,2.32,2320.0
117,2.34,2340.0
118,2.36,2360.0
119,2.38,2380.0
120,2.4,2400.0
121,2.42,2420.0
122,2.44,2440.0
123,2.46,2460.0
124,2.48,2480.0
125,2.5,2500.0
126,2.52,2520.0
127,2.54,2540.0
128,2.56,2560.0
129,2.58,2580.0
130,2.6,2600.0
131,2.62,2620.0
132,2.64,2640.0
133,2.66,2660.0
134,2.68,2680.0
135,2.7,2700.0
136,2.72,2720.0
137,2.74,2740.0
138,2.7600000000000002,2760.0000000000005
139,2.7800000000000002,2780.0000000000005
140,2.8000000000000003,2800.0000000000005
141,2.82,2820.0
142,2.84,2840.0
143,2.86,2860.0
144,2.88,2880.0
145,2.9,2900.0
146,2.92,2920.0
147,2.94,2940.0
148,2.96,2960.0
149,2.98,2980.0
150,3.0,3000.0
151,3.02,3020.0
152,3.04,3040.0
153,3.06,3060.0
154,3.08,3080.0
155,3.1,3100.0
156,3.12,3120.0
157,3.14,3140.0
158,3.16,3160.0
159,3.18,3180.0
160,3.2,3200.0
161,3.22,3220.0
162,3.24,3240.0
163,3.2600000000000002,3260.0000000000005
164,3.2800000000000002,3280.0000000000005
165,3.3000000000000003,3300.0000000000005
166,3.3200000000000003,3320.0000000000005
167,3.34,3340.0
168,3.36,3360.0
169,3.38,3380.0
170,3.4,3400.0
171,3.42,3420.0
172,3.44,3440.0
173,3.46,3460.0
174,3.48,3480.0
175,3.5,3500.0
176,3.52,3520.0
177,3.54,3540.0
178,3.56,3560.0
179,3.58,3580.0
180,3.6,3600.0
181,3.62,3620.0
182,3.64,3640.0
183,3.66,3660.0
184,3.68,3680.0
185,3.7,3700.0
186,3.72,3720.0
187,3.74,3740.0
188,3.7600000000000002,3760.0000000000005
189,3.7800000000000002,3780.0000000000005
190,3.8000000000000003,3800.0000000000005
191,3.8200000000000003,3820.0000000000005
192,3.84,3840.0
193,3.86,3860.0
194,3.88,3880.0
195,3.9,3900.0
196,3.92,3920.0
197,3.94,3940.0
198,3.96,3960.0
199,3.98,3980.0
200,4.0,4000.0
201,4.0200000000000005,4020.0000000000005
202,4.04,4040.0
203,4.0600000000000005,4060.0000000000005
204,4.08,4080.0
205,4.1,4100.0
206,4.12,4120.0
207,4.14,4140.0
208,4.16,4160.0
209,4.18,4180.0
210,4.2,4200.0
211,4.22,4220.0
212,4.24,4240.0
213,4.26,4260.0
214,4.28,4280.0
215,4.3,4300.0
216,4.32,4320.0
217,4.34,4340.0
218,4.36,4360.0
219,4.38,4380.0
220,4.4,4400.0
221,4.42,4420.0
222,4.44,4440.0
223,4.46,4460.0
224,4.48,4480.0
225,4.5,4500.0
226,4.5200000000000005,4520.000000000001
227,4.54,4540.0
228,4.5600000000000005,4560.000000000001
229,4.58,4580.0
230,4.6000000000000005,4600.000000000001
231,4.62,4620.0
232,4.64,4640.0
233,4.66,4660.0
234,4.68,4680.0
235,4.7,4700.0
236,4.72,4720.0
237,4.74,4740.0
238,4.76,4760.0
239,4.78,4780.0
240,4.8,4800.0
241,4.82,4820.0
242,4.84,4840.0
243,4.86,4860.0
244,4.88,4880.0
245,4.9,4900.0
246,4.92,4920.0
247,4.94,4940.0
248,4.96,4960.0
249,4.98,4980.0
250,5.0,5000.0
251,5.0200000000000005,5020.000000000001
252,5.04,5040.0
253,5.0600000000000005,5060.000000000001
254,5.08,5080.0
255,5.1000000000000005,5100.000000000001
256,5.12,5120.0
257,5.14,5140.0
258,5.16,5160.0
259,5.18,5180.0
260,5.2,5200.0
261,5.22,5220.0
262,5.24,5240.0
263,5.26,5260.0
264,5.28,5280.0
265,5.3,5300.0
266,5.32,5320.0
267,5.34,5340.0
268,5.36,5360.0
269,5.38,5380.0
270,5.4,5400.0
271,5.42,5420.0
272,5.44,5440.0
273,5.46,5460.0
274,5.48,5480.0
275,5.5,5500.0
276,5.5200000000000005,5520.000000000001
277,5.54,5540.0
278,5.5600000000000005,5560.000000000001
279,5.58,5580.0
280,5.6000000000000005,5600.000000000001
281,5.62,5620.0
282,5.64,5640.0
283,5.66,5660.0
284,5.68,5680.0
285,5.7,5700.0
286,5.72,5720.0
287,5.74,5740.0
288,5.76,5760.0
289,5.78,5780.0
290,5.8,5800.0
291,5.82,5820.0
292,5.84,5840.0
293,5.86,5860.0
294,5.88,5880.0
295,5.9,5900.0
296,5.92,5920.0
297,5.94,5940.0
298,5.96,5960.0
299,5.98,5980.0
300,6.0,6000.0
301,6.0200000000000005,6020.000000000001
302,6.04,6040.0
303,6.0600000000000005,6060.000000000001
304,6.08,6080.0
305,6.1000000000000005,6100.000000000001
306,6.12,6120.0
307,6.140000000000001,6140.000000000001
308,6.16,6160.0
309,6.18,6180.0
310,6.2,6200.0
311,6.22,6220.0
312,6.24,6240.0
313,6.26,6260.0
314,6.28,6280.0
315,6.3,6300.0
316,6.32,6320.0
317,6.34,6340.0
318,6.36,6360.0
319,6.38,6380.0
320,6.4,6400.0
321,6.42,6420.0
322,6.44,6440.0
323,6.46,6460.0
324,6.48,6480.0
325,6.5,6500.0
326,6.5200000000000005,6520.000000000001
327,6.54,6540.0
328,6.5600000000000005,6560.000000000001
329,6.58,6580.0
330,6.6000000000000005,6600.000000000001
331,6.62,6620.0
332,6.640000000000001,6640.000000000001
333,6.66,6660.0
334,6.68,6680.0
335,6.7,6700.0
336,6.72,6720.0
337,6.74,6740.0
338,6.76,6760.0
339,6.78,6780.0
340,6.8,6800.0
341,6.82,6820.0
342,6.84,6840.0
343,6.86,6860.0
344,6.88,6880.0
345,6.9,6900.0
346,6.92,6920.0
347,6.94,6940.0
348,6.96,6960.0
349,6.98,6980.0
350,7.0,7000.0
351,7.0200000000000005,7020.000000000001
352,7.04,7040.0
353,7.0600000000000005,7060.000000000001
354,7.08,7080.0
355,7.1000000000000005,7100.000000000001
356,7.12,7120.0
357,7.140000000000001,7140.000000000001
358,7.16,7160.0
359,7.18,7180.0
360,7.2,7200.0
361,7.22,7220.0
362,7.24,7240.0
363,7.26,7260.0
364,7.28,7280.0
365,7.3,7300.0
366,7.32,7320.0
367,7.34,7340.0
368,7.36,7360.0
369,7.38,7380.0
370,7.4,7400.0
371,7.42,7420.0
372,7.44,7440.0
373,7.46,7460.0
374,7.48,7480.0
375,7.5,7500.0
376,7.5200000000000005,7520.000000000001
377,7.54,7540.0
378,7.5600000000000005,7560.000000000001
379,7.58,7580.0
380,7.6000000000000005,7600.000000000001
381,7.62,7620.0
382,7.640000000000001,7640.000000000001
383,7.66,7660.0
384,7.68,7680.0
385,7.7,7700.0
386,7.72,7720.0
387,7.74,7740.0
388,7.76,7760.0
389,7.78,7780.0
390,7.8,7800.0
391,7.82,7820.0
392,7.84,7840.0
393,7.86,7860.0
394,7.88,7880.0
395,7.9,7900.0
396,7.92,7920.0
397,7.94,7940.0
398,7.96,7960.0
399,7.98,7980.0
400,8.0,8000.0
401,8.02,8020.0
402,8.040000000000001,8040.000000000001
403,8.06,8060.000000000001
404,8.08,8080.0
405,8.1,8100.0
406,8.120000000000001,8120.000000000001
407,8.14,8140.000000000001
408,8.16,8160.0
409,8.18,8180.0
410,8.2,8200.0
411,8.22,8220.0
412,8.24,8240.0
413,8.26,8260.0
414,8.28,8280.0
415,8.3,8300.0
416,8.32,8320.0
417,8.34,8340.0
418,8.36,8360.0
419,8.38,8380.0
420,8.4,8400.0
421,8.42,8420.0
422,8.44,8440.0
423,8.46,8460.0
424,8.48,8480.0
425,8.5,8500.0
426,8.52,8520.0
427,8.540000000000001,8540.000000000002
428,8.56,8560.0
429,8.58,8580.0
430,8.6,8600.0
431,8.620000000000001,8620.000000000002
432,8.64,8640.0
433,8.66,8660.0
434,8.68,8680.0
435,8.700000000000001,8700.000000000002
436,8.72,8720.0
437,8.74,8740.0
438,8.76,8760.0
439,8.78,8780.0
440,8.8,8800.0
441,8.82,8820.0
442,8.84,8840.0
443,8.86,8860.0
444,8.88,8880.0
445,8.9,8900.0
446,8.92,8920.0
447,8.94,8940.0
448,8.96,8960.0
449,8.98,8980.0
450,9.0,9000.0
451,9.02,9020.0
452,9.040000000000001,9040.000000000002
453,9.06,9060.0
454,9.08,9080.0
455,9.1,9100.0
456,9.120000000000001,9120.000000000002
457,9.14,9140.0
458,9.16,9160.0
459,9.18,9180.0
460,9.200000000000001,9200.000000000002
